Year,VisaType,Total
2004,Temporary visas,90960
2004,Permanent visas,61330
2005,Temporary visas,85570
2005,Permanent visas,70210
2006,Temporary visas,115340
2006,Permanent visas,76570
2007,Temporary visas,163920
2007,Permanent visas,77820
2008,Temporary visas,203810
2008,Permanent visas,85900
2009,Temporary visas,148190
2009,Permanent visas,76820
2010,Temporary visas,86370
2011,Permanent visas,63530
2011,Temporary visas,101780
2011,Permanent visas,64510
2012,Temporary visas,124850
2012,Permanent visas,66510
2013,Temporary visas,125290
2013,Permanent visas,75150
2014,Temporary visas,130320
2014,Permanent visas,68930
2015,Temporary visas,141780
2015,Permanent visas,68220
2016,Temporary visas,168290
2016,Permanent visas,83270
2017,Temporary visas,181090
2017,Permanent visas,73810
2018,Temporary visas,193260
2018,Permanent visas,64660
2019,Temporary visas,173740
2019,Permanent visas,64220
