VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,13890,12200,1690
Temporary visas,Education sector,47760,28500,19260
Temporary visas,Student other,22230,7750,14480
Temporary visas,Skilled work,30670,13540,17130
Temporary visas,Visitor,42320,16970,25350
Temporary visas,Working Holiday,37320,16170,21150
Temporary visas,Misc Temp,6030,18730,-12690
Permanent visas,Family,33690,5760,27940
Permanent visas,Skill,37140,8670,28480
Permanent visas,S/E & humanitarian,8510,130,8380
Permanent visas,Misc Perm,4190,5460,-1260
